id	departmento	Tipo trámite	URL
620	manifestacionvalor	0	https://front.v30.ultrasist.net/manifestacionvalor/consulta-manifestacion
621	manifestacionvalor	0	https://front.v30.ultrasist.net/manifestacionvalor/edicion-manifestacion
622	manifestacionvalor	0	https://front.v30.ultrasist.net/manifestacionvalor/manifestacion-valor
604	aga	103	https://front.v30.ultrasist.net/aga/autorizacion/mercancia-donada
1	aga	104	https://front.v30.ultrasist.net/aga/deposito-fiscal/solicitud
172	aga	105	https://front.v30.ultrasist.net/aga/invocar-modulo/solicitante
186	aga	202	https://front.v30.ultrasist.net/aga/prestadores-servicio/maniobras-mercancias
2	aga	301	https://front.v30.ultrasist.net/aga/importante/datosdelasolicitud
128	aga	302	https://front.v30.ultrasist.net/aga/certi-registro/proceso-completo
3	agace	303	https://front.v30.ultrasist.net/aga/despacho-mercancias/registro/registro
303	aga	303	https://front.v30.ultrasist.net/aga/despacho-mercancias/registro/registro
174	agace	317	https://front.v30.ultrasist.net/agace/aviso-unico-renovacion/pantallas
312	aga	319	https://front.v30.ultrasist.net/aga/operaciones-de-comercio/exterior
332	aga	324	https://front.v30.ultrasist.net/aga/tecnologicos/solicitud
4	aga	701	https://front.v30.ultrasist.net/aga/registro-digitalizar-documentos/solicitud
280	aga	5601	https://front.v30.ultrasist.net/aga/solicitud-despacho-exportacion/solicitud
5	aga	5701	https://front.v30.ultrasist.net/aga/servicios-extraordinarios/solicitud
6	aga	5701	https://front.v30.ultrasist.net/aga/atender-requerimientos
7	aga	5701	https://front.v30.ultrasist.net/aga/notificacion
8	aga	6001	https://front.v30.ultrasist.net/aga/registro-cuentas-bancarias/todospasos
187	aga	6101	https://front.v30.ultrasist.net/aga/junta-tecnica/solicitud
299	aga	6102	https://front.v30.ultrasist.net/aga/junta-tecnica-registro/registro-tecnica
303	aga	6203	https://front.v30.ultrasist.net/aga/desistimiento-animales/solicitante
300	aga	6402	https://front.v30.ultrasist.net/aga/autorizacion-importacion/solicitante
301	aga	6403	https://front.v30.ultrasist.net/aga/retorno-de-partes/solicitante
302	aga	6502	https://front.v30.ultrasist.net/aga/registro-poblacional/solicitud
9	aga	10301	https://front.v30.ultrasist.net/aga/importador-exportador/solicitud
129	aga	10302	https://front.v30.ultrasist.net/aga/exencion-impuestos/solicitud
10	aga	10303	https://front.v30.ultrasist.net/aga/donaciones-extranjeras/solicitud
370	aga	10703	https://front.v30.ultrasist.net/aga/importador-exportador/modification-exencion-impuestos
303	aga	11101	https://front.v30.ultrasist.net/aga/fronteriza/aviso-mercancia-donada
188	aga	11102	https://front.v30.ultrasist.net/aga/modificacion-donaciones-immex/solicitante
11	aga	11105	https://front.v30.ultrasist.net/aga/retirada-de-la-autorizacion-de-donaciones/solicitud
189	aga	11106	https://front.v30.ultrasist.net/aga/cancelacion-donaciones/solicitante
12	aga	11201	https://front.v30.ultrasist.net/aga/temporal-contenedores/solicitante
13	aga	11202	https://front.v30.ultrasist.net/aga/retorno-contenedores/solicitante
14	aga	11204	https://front.v30.ultrasist.net/aga/transferencia-contenedores/solicitante
190	aga	30401	https://front.v30.ultrasist.net/aga/registro-empresas/transporte
191	agace	30505	https://front.v30.ultrasist.net/agace/aviso-de-modificacion/aviso
606	agace	30506	https://front.v30.ultrasist.net/agace/registros/solicitud
15	aga	30901	https://front.v30.ultrasist.net/aga/muestras-mercancias/renovaciones
198	agace	31101	https://front.v30.ultrasist.net/agace/garantia/solicitud
173	aga	31201	https://front.v30.ultrasist.net/aga/renovacion-iva-ieps/mod-a
192	aga	31202	https://front.v30.ultrasist.net/aga/renovacion-iva-ieps/mod-aa
193	aga	31203	https://front.v30.ultrasist.net/aga/renovacion-iva-ieps/mod-aaa
199	agace	31301	https://front.v30.ultrasist.net/agace/endoso-garantia/solicitud
304	agace	31401	https://front.v30.ultrasist.net/agace/cancelacion-garantia/pantallas
135	agace	31501	https://front.v30.ultrasist.net/agace/autoridad/solicitud
